,name0,average,usersrated,weight,minplayers,maxplayers,playingtime,yearpublished
83100,Hansa Teutonica: Britannia,8.117,535,3.454,2,5,90,2014
1064,Dylematy Kr?³la,8.116,902,2.289,3,5,60,2019
16,Concordia,8.116,25191,3.039,2,5,100,2013
83096,Sentinels of the Multiverse: Infernal Relics,8.116,1571,2.429,2,5,30,2012
83085,Firefly: Das Spiel â?? Blue Sun,8.115,1433,2.878,1,4,120,2014
83075,Auf den Spuren von Marco Polo: Die neuen Charaktere,8.113,1119,3.13,2,4,100,2015
83042,Der Herr der Ringe: Das Kartenspiel â?? Die Grundfesten der Welt,8.111,563,2.667,1,2,60,2012
55,Cidades submersas,8.108,7179,3.577,1,4,150,2018
83029,Five Tribes: Die Kunstschmiede von Naqala,8.108,3039,2.859,2,4,80,2015
83024,Battlestar Galactica: Espansione Exodus,8.107,3437,3.54,3,6,180,2010
83023,Dinosaur Island: Totally Liquid,8.107,1328,3.304,1,5,120,2018
83005,7 csoda: Armada,8.104,1339,2.773,3,7,40,2018
23,Mage Knight Board Game,8.104,26359,4.297,1,4,240,2011
20,Viticulture Edi?§?£o Essencial,8.103,24921,2.919,1,6,90,2015
15,7 Csoda P?¡rbaj,8.103,52422,2.219,2,2,30,2015
82998,Zombicide: Black Plague Zombie Bosses Abomination Pack,8.103,688,2.2,1,6,60,2015
82996,Blood Rage: 5. j?¡t?©kos kieg?©sz?­t??,8.103,2083,2.621,5,5,90,2015
1674,EastFront: The War in Russia 1941-45 â?? Second Edition,8.101,550,3.511,2,2,240,2006
470,Blood Bowl (2016 edition),8.101,1998,3.462,2,2,120,2016
82948,La Guerra dell'Anello: Battaglie della Terza Era,8.099,1414,3.699,2,4,180,2006
1135,Codex: Card-Time Strategy,8.099,917,3.673,2,5,45,2016
385,Watergate,8.098,2035,2.259,2,2,60,2019
82946,Terra Mystica: 4 Stadtmarker,8.098,811,3.29,2,5,100,2013
82942,Brzd??k! W! Kosmosie!: Apokalipsa!,8.098,733,2.625,2,4,90,2018
82939,Rails of Europe,8.097,1853,2.943,2,5,120,2008
977,Unmatched: Battle of Legends  Volume One,8.097,1085,1.962,2,4,40,2019
722,Chicago 1875: City of the Big Shoulders,8.093,1249,3.956,2,4,180,2019
52,Arler Erde,8.092,7270,3.892,1,2,120,2014
